time,callstack,stack,total
0.021510458999999926,12,5,17
0.026041665999999353,12,5,17
0.034804708999999434,12,5,17
0.03154837499999985,12,5,17
0.023839750000000492,12,5,17
0.03431366599999919,12,5,17
0.026767459000000215,12,5,17
0.1289603330000002,12,5,17
0.18969925000000032,12,5,17
0.022829082999999528,12,5,17
0.027384458000000222,12,5,17
0.11234633299999963,12,5,17
0.025813416999998395,12,5,17
0.02676208400000135,12,5,17
0.022241000000001065,12,5,17
0.035704958000000175,12,5,17
0.03354699999999866,12,5,17
0.0287241250000001,12,5,17
0.031590540999999916,12,5,17
0.023059457999998756,12,5,17
0.023517167000001393,12,5,17
0.023466540999997676,12,5,17
0.02464108300000234,12,5,17
0.02380583299999728,12,5,17
0.022563333999997326,12,5,17
0.026485375000000033,12,5,17
0.021229291999997457,12,5,17
0.02821754200000015,12,5,17
0.02485737499999985,12,5,17
0.023057417000000413,12,5,17
